"country","lat","lon","aqi_category"
"Papua New Guinea","-4.3432175","152.2686741","Unhealthy for Sensitive Groups"
"India","22.7203616","75.8681996","Unhealthy"
"Nigeria","7.985087","4.645545","Unhealthy"
"Japan","24.3439358","124.1861835","Unhealthy for Sensitive Groups"
"India","18.7956633","78.9162397","Unhealthy for Sensitive Groups"
"India","23.7068396","86.4027715","Unhealthy"
"India","31.1596218","75.617373","Unhealthy"
"China","29.7999912","120.6071908","Unhealthy"
"India","19.6060365","76.6889565","Unhealthy for Sensitive Groups"
"United Republic of Tanzania","-5.7820158","32.7780532","Unhealthy"
"Pakistan","33.8560901","72.3941358","Unhealthy for Sensitive Groups"
"India","31.4397157","75.4989077","Unhealthy"
"India","30.7955159","77.3559272","Unhealthy for Sensitive Groups"
"India","17.2465351","80.1500326","Unhealthy for Sensitive Groups"
"India","21.8203752","76.3555424","Unhealthy for Sensitive Groups"
"Senegal","14.7772725","-16.5277163","Unhealthy"
"Colombia","4.2039758","-74.6429479","Unhealthy for Sensitive Groups"
"India","27.4326561","80.5315179","Unhealthy"
"India","30.8223408","75.1730967","Unhealthy"
"Indonesia","-6.8656134","111.1759912","Unhealthy"
"Bangladesh","22.480034","89.80357064574076","Unhealthy for Sensitive Groups"
"Italy","45.5931952","9.2271378","Unhealthy for Sensitive Groups"
"Poland","50.2096211","19.132165997410812","Unhealthy for Sensitive Groups"
"India","21.363778","74.2411418","Unhealthy for Sensitive Groups"
"India","13.19133","80.18473","Unhealthy for Sensitive Groups"
"Pakistan","32.1009752","74.872238","Unhealthy"
"India","27.0214531","75.0027941","Unhealthy"
"India","24.8221458","79.1445207","Unhealthy"
"India","20.2930499","82.7610406","Unhealthy"
"India","22.5951633","76.9062501","Unhealthy"
"India","22.7516133","72.6857205","Unhealthy"
"India","20.2684071","78.4889352","Unhealthy"
"India","24.4675477","85.5939641","Unhealthy"
"Pakistan","33.5967144","71.4399944","Unhealthy for Sensitive Groups"
"South Africa","-27.2428003","27.5741018","Unhealthy"
"China","41.7238743","86.173541","Unhealthy"
"India","23.433053","84.679921","Unhealthy"
"India","23.6015557","72.3867981","Unhealthy"
"India","22.8314482","69.35081","Unhealthy"
"India","19.199014650000002","72.97277235","Unhealthy"
"Afghanistan","37.6232","49.0572","Unhealthy"
"Switzerland","47.3176276","8.5830859","Unhealthy for Sensitive Groups"
"Mexico","32.4448306","-117.0033708","Unhealthy for Sensitive Groups"
"India","27.946309","80.7815166","Unhealthy"
"Indonesia","-7.1204411","112.4155881","Unhealthy"
"Pakistan","30.769159","74.1249286","Unhealthy"
"Nigeria","11.9918671","8.5303654","Unhealthy for Sensitive Groups"
"India","24.8877449","74.3123201","Unhealthy"
"Indonesia","-6.5995289","106.9265176","Unhealthy for Sensitive Groups"
"India","27.2583302","77.1742773","Unhealthy"
"China","35.3887802","116.056912","Unhealthy"
"India","30.4692","74.5182","Unhealthy"
"Pakistan","30.197838","71.4719683","Unhealthy"
"Pakistan","26.6910715","67.6114174","Unhealthy"
"India","24.7344856","73.527621","Unhealthy"
"India","28.8274086","76.3957481","Unhealthy"
"Pakistan","27.8503045","68.700553","Unhealthy"
"United States of America","43.3541831","-96.8918394","Unhealthy for Sensitive Groups"
"Mexico","19.7764113","-98.9813779","Unhealthy"
"China","31.7383487","116.5142252","Unhealthy"
"India","19.0588648","78.113857","Unhealthy for Sensitive Groups"
"Pakistan","32.529715","73.973987","Unhealthy"
"Iran (Islamic Republic of)",NULL,NULL,"Unhealthy"
"Pakistan","29.800043","66.8500394","Unhealthy for Sensitive Groups"
"Egypt","28.4176905","30.7861579","Unhealthy for Sensitive Groups"
"China","34.1749","115.042","Unhealthy for Sensitive Groups"
"China","37.4334738","118.6689349","Unhealthy for Sensitive Groups"
"Indonesia","-7.699791","111.4235244","Unhealthy"
"India","22.61993","88.24566","Unhealthy"
"Iran (Islamic Republic of)","0.3397018","32.5925304","Unhealthy"
"Kazakhstan","43.3552","77.45245","Unhealthy for Sensitive Groups"
"Rwanda","-1.69053815","29.256361406494275","Unhealthy"
"Senegal","14.272179","-15.945573","Unhealthy"
"Haiti","19.1445541","-72.0087527","Unhealthy for Sensitive Groups"
"China","45.21213","127.7939484","Unhealthy for Sensitive Groups"
"China","32.1175679","115.1511815","Unhealthy"
"China","23.1146515","114.4107202","Unhealthy for Sensitive Groups"
"India","26.2037247","78.1573628","Unhealthy"
"China","27.1052","109.237","Unhealthy"
"United States of America","41.1359287","-74.118477","Unhealthy for Sensitive Groups"
"India","21.1498134","79.0820556","Unhealthy"
"India","22.4294001","80.106204","Unhealthy"
"India","26.445568","91.4354335","Unhealthy for Sensitive Groups"
"India","19.17257215","77.29141237169956","Unhealthy for Sensitive Groups"
"Turkey","37.0108864","37.7931734","Unhealthy for Sensitive Groups"
"India","24.7926","73.0469","Unhealthy"
"China","31.53017","109.34606","Unhealthy"
"Indonesia","-6.5607313","107.4439799","Unhealthy for Sensitive Groups"
"India","20.34950375","86.15000201261545","Unhealthy"
"India","24.702577","79.4762984","Unhealthy"
"India","30.4384439","77.6211774","Unhealthy for Sensitive Groups"
"United States of America","29.5639758","-95.2864299","Unhealthy for Sensitive Groups"
"China","36.4199702","114.1625404","Unhealthy"
"France","43.6951468","5.5032671","Unhealthy"
"Brazil","-24.3218105","-46.9977452","Unhealthy"
"China","22.943985","115.6355727","Unhealthy"
"United States of America","40.6415296","-73.6656011","Unhealthy for Sensitive Groups"
"United States of America","40.7881643","-74.3891647","Unhealthy for Sensitive Groups"
"India","25.0397851","76.1832118","Unhealthy"
"India","20.1187885","85.8333277","Unhealthy for Sensitive Groups"
"Iran (Islamic Republic of)","35.3064185","51.7227122","Unhealthy for Sensitive Groups"
"Brazil","-23.5249082","-46.3445663","Unhealthy"
"Afghanistan","36.7175566","68.8672916","Unhealthy for Sensitive Groups"
"India","21.9905525","83.1042482","Unhealthy"
"Pakistan","32.2903666","72.3515792","Unhealthy"
"India","28.20307","80.27046","Unhealthy"
"Rwanda","-1.950851","30.061507","Unhealthy for Sensitive Groups"
"India","16.4358435","77.1857073","Unhealthy for Sensitive Groups"
"India","18.8238151","78.7205172","Unhealthy"
"India","16.9884481","77.7164865","Unhealthy for Sensitive Groups"
"India","22.2091671","74.7592764","Unhealthy for Sensitive Groups"
"India","25.3185145","79.640813","Unhealthy"
"China","37.1773133","119.9370943","Unhealthy for Sensitive Groups"
"Pakistan","32.20574","72.953351","Unhealthy"
"United States of America","34.0536909","-118.242766","Unhealthy for Sensitive Groups"
"China","29.204","92.004","Unhealthy"
"China","22.5445741","114.0545429","Unhealthy"
"Indonesia","-7.2259179","109.5897737","Unhealthy"
"United States of America","34.1616729","-118.052845","Unhealthy for Sensitive Groups"
"India","26.5876547","85.5056744","Unhealthy for Sensitive Groups"
"India","28.0721861","78.749026","Unhealthy"
"India","12.9991212","80.200262","Unhealthy for Sensitive Groups"
"Afghanistan","37.141538","69.7990764","Unhealthy for Sensitive Groups"
"France","46.3874699","5.8643866","Unhealthy for Sensitive Groups"
"France","44.7177","4.54685","Unhealthy for Sensitive Groups"
"Mexico","20.571358","-101.192444","Unhealthy for Sensitive Groups"
"India","17.039388449999997","82.13803175055432","Unhealthy for Sensitive Groups"
"Uzbekistan","40.4305778","67.9647135","Unhealthy for Sensitive Groups"
"India","31.8143115","75.6573011","Unhealthy"
"Pakistan","31.827527","70.9090919","Unhealthy"
"Senegal","14.654562","-16.227822","Unhealthy"
"India","24.9509656","84.0148733","Unhealthy"
"India","21.1508089","75.8885226","Unhealthy"
"South Africa","-26.516111","29.202778","Unhealthy"
"Japan","35.240984","137.116187","Unhealthy for Sensitive Groups"
"Mexico","17.082778","-98.363333","Unhealthy"
"China","39.010648","117.36145","Unhealthy for Sensitive Groups"
"Indonesia","-8.0786982","112.3334405","Unhealthy"
"India","26.365964","84.3373624","Unhealthy"
"Uzbekistan","40.9996482","71.6726238","Unhealthy"
"India","25.0507668","84.327549","Unhealthy"
"India","26.8637478","82.1381306","Unhealthy"
"Indonesia","-7.5519339","112.6186026","Unhealthy for Sensitive Groups"
"Nigeria","6.15055","6.842826","Unhealthy"
"Mauritania","20.9127045","-17.0503094","Unhealthy"
"Nigeria","5.6335371","7.8284586","Unhealthy"
"Nigeria","4.7415886","7.0848772","Unhealthy"
"Brazil","-19.9132749","-44.0840953","Unhealthy"
"India","22.8358786","74.2556823","Unhealthy"
"Brazil","-23.3076663","-47.1324726","Unhealthy"
"Guinea-Bissau","12.274246","-16.1648911","Unhealthy for Sensitive Groups"
"India","20.8155716","77.9719587","Unhealthy for Sensitive Groups"
"India","25.877093","87.8414703","Unhealthy"
"China","22.7950554","114.4596497","Unhealthy for Sensitive Groups"
"India","20.898","74.7732","Unhealthy for Sensitive Groups"
"Indonesia","-6.57894495","106.70197238721454","Unhealthy"
"United Arab Emirates","25.2653471","55.2924914","Unhealthy"
"China","29.403765","116.1271012","Unhealthy for Sensitive Groups"
"Nigeria","6.4499833","7.5000007","Unhealthy"
"Bangladesh","23.0068161","91.3965276","Unhealthy"
"Somalia","11.27848","49.179952","Unhealthy"
"India","28.6933239","76.9332373","Unhealthy"
"India","17.0476763","75.0626278","Unhealthy"
"India","25.2234352","88.7780654","Unhealthy for Sensitive Groups"
"Iran (Islamic Republic of)","36.8929175","54.0697204","Unhealthy"
"Indonesia","-6.9215529","107.6110212","Unhealthy"
"Dominican Republic","18.1714805","-71.20953","Unhealthy for Sensitive Groups"
"India","20.8415619","84.3213321","Unhealthy"
"Pakistan","25.8041728","68.4941635","Unhealthy"
"Tajikistan","38.46613","68.80533","Unhealthy"
"China","33.8579594","115.772453","Unhealthy"
"Indonesia","-6.870636","109.0369034","Unhealthy"
"India","28.4056515","77.8542516","Unhealthy"
"Uganda","0.7528492","33.8239976","Unhealthy for Sensitive Groups"
"Haiti","18.5345373","-72.4092495","Unhealthy for Sensitive Groups"
"India","22.6513989","72.9442452","Unhealthy"
"India","29.755655","77.063852","Unhealthy"
"China","44.66981","127.73112","Unhealthy"
"Iran (Islamic Republic of)","30.3392","48.3043","Unhealthy"
"Mexico","18.608333","-96.934167","Unhealthy"
"India","23.1646919","72.5821046","Unhealthy"
"Algeria","27.8733807","-0.2874884","Unhealthy for Sensitive Groups"
"Pakistan","33.999666","72.1249601","Unhealthy"
"India","20.8382426","85.0973949","Unhealthy"
"Viet Nam","21.2795479","106.2038074","Unhealthy"
"China","26.3760947","111.9457969","Unhealthy for Sensitive Groups"
"Colombia","4.6231176","-75.7637346","Unhealthy for Sensitive Groups"
"Ecuador","-0.2201641","-78.5123274","Unhealthy for Sensitive Groups"
"India","23.5816679","75.8750582","Unhealthy"
"Iraq","35.081981","43.101652","Unhealthy"
"Saudi Arabia","24.638916","46.7160104","Unhealthy"
"United States of America","42.4894801","-83.1446485","Unhealthy"
"India","31.1895471","77.1412539","Unhealthy"
"India","22.6996392","85.931258","Unhealthy"
"Bangladesh","22.2990557","91.9776525","Unhealthy"
"India","19.7930436","79.0245294","Unhealthy"
"India","25.3319049","84.4031976","Unhealthy"
"Brazil","-21.0239714","-48.0393457","Unhealthy for Sensitive Groups"
"India","18.1446862","77.2498405","Unhealthy for Sensitive Groups"
"Colombia","6.0406977","-75.7030694","Unhealthy for Sensitive Groups"
"India","25.0399854","86.9028384","Unhealthy"
"Uzbekistan","41.0212207","70.0795361","Unhealthy for Sensitive Groups"
"Nigeria","6.85463","3.20619","Unhealthy for Sensitive Groups"
"Gabon","-0.7151966","8.7787919","Unhealthy for Sensitive Groups"
"China","24.5149334","117.3579311","Unhealthy"
"Egypt","27.269181","31.151736","Unhealthy"
"Tajikistan","40.64928","69.98472","Unhealthy for Sensitive Groups"
"India","22.0237482","82.4260255","Unhealthy"
"India","24.3085102","73.3926093","Unhealthy"
"Italy","45.2211195","10.4130654","Unhealthy for Sensitive Groups"
"India","26.3337222","82.9473843","Unhealthy"
"India","27.4295126","82.1854602","Unhealthy"
"Indonesia","0.1157075","100.8342014","Unhealthy for Sensitive Groups"
"India","29.464433","77.35338","Unhealthy"
"Iran (Islamic Republic of)","26.5620668","54.883817","Unhealthy for Sensitive Groups"
"India","25.4517419","75.2651453","Unhealthy"
"India","26.5504353","83.3498616","Unhealthy"
"India","25.512458","74.6386135","Unhealthy"
"India","23.25","87.75","Unhealthy"
"India","25.4711351","85.7060668","Unhealthy"
"India","22.0333621","74.8978374","Unhealthy"
"India","22.6611962","88.8660215","Unhealthy"
"Saudi Arabia","25.935556","49.668333","Unhealthy"
"Mexico","14.9917056","-92.1652487","Unhealthy for Sensitive Groups"
"Italy","45.7395347","9.129103","Unhealthy for Sensitive Groups"
"China","23.4234","104.025","Unhealthy"
"United States of America","26.2128609","-80.2497707","Unhealthy"
"China","29.134955","101.505585","Unhealthy for Sensitive Groups"
"Sudan","14.13333","30.01667","Unhealthy"
"United States of America","18.4119864","-66.3301167","Unhealthy for Sensitive Groups"
"Switzerland","47.3226925","8.7980939","Unhealthy for Sensitive Groups"
"China","28.6428855","118.3962459","Unhealthy"
"China","40.17737","122.12284","Unhealthy for Sensitive Groups"
"China","26.2550155","108.6562745","Unhealthy"
"China","24.5164639","117.6424895","Unhealthy for Sensitive Groups"
"China","33.0115818","114.0164565","Unhealthy for Sensitive Groups"
"Iran (Islamic Republic of)","30.5942116","50.2434119","Unhealthy for Sensitive Groups"
"India","29.0275009","79.0546433","Unhealthy for Sensitive Groups"
"Uzbekistan","41.1886539","69.1456294","Unhealthy"
"United States of America","34.0452883","-117.9436749","Unhealthy for Sensitive Groups"
"Brazil","-23.541056","-46.37097","Unhealthy for Sensitive Groups"
"Colombia","4.1503044","-74.8845895","Unhealthy for Sensitive Groups"
"India","22.219976","81.4105925","Unhealthy"
"India","21.7285864","76.2586163","Unhealthy"
"India","28.979289","77.932382","Unhealthy"
"India","24.273603","80.1662565","Unhealthy"
"United States of America","26.1947962","-98.1836216","Unhealthy"
"China","28.831666","104.3438145","Unhealthy for Sensitive Groups"
"China","35.5865049","103.400394","Unhealthy for Sensitive Groups"
"Brazil","-23.052545","-46.359374","Unhealthy for Sensitive Groups"
"India","21.6409","69.611","Unhealthy"
"South Africa","-26.7150922","27.1013887","Unhealthy"
"Indonesia","-7.6805545","112.6406232","Unhealthy"
"China","28.798681","108.385609","Unhealthy"
"Pakistan","31.7580001","72.9060562","Unhealthy"
"India","24.93040645","76.89934319978059","Unhealthy for Sensitive Groups"
"Poland","50.27034825","18.864387901747556","Unhealthy for Sensitive Groups"
"Iran (Islamic Republic of)","36.2126","57.68191","Unhealthy for Sensitive Groups"
"India","30.3923","77.80793","Unhealthy"
"United States of America","18.0808972","-67.0408635","Unhealthy for Sensitive Groups"
"Brazil","-23.7080345","-46.5506747","Unhealthy for Sensitive Groups"
"Brazil","-23.8535923","-46.9440587","Unhealthy for Sensitive Groups"
"Yemen","15.1718281","44.3254275","Unhealthy"
"India","20.4719686","78.9372396","Unhealthy for Sensitive Groups"
"Gambia","13.438762","-16.674807","Unhealthy"
"Iran (Islamic Republic of)","30.64972","48.66472","Unhealthy"
"Pakistan","32.3270611","73.7798186","Unhealthy"
"India","23.8525581","74.8775768","Unhealthy"
"Nigeria","7.6456705","5.552041","Unhealthy for Sensitive Groups"
"United States of America","27.7550276","-82.7376009","Unhealthy for Sensitive Groups"
"South Africa","-29.3383782","31.2881205","Unhealthy"
"India","23.8851474","72.6172316","Unhealthy"
"India","26.4003745","90.2710412","Unhealthy"
"Tajikistan","40.2908394","70.4254538","Unhealthy for Sensitive Groups"
"India","25","76.5","Unhealthy"
"Iran (Islamic Republic of)","33.98237","51.42769","Unhealthy"
"India","21.4166145","80.9818486","Unhealthy"
"India","24.3077574","74.892168","Unhealthy"
"China","29.6653828","115.9474861","Unhealthy for Sensitive Groups"
"India","26.973031","75.3869944","Unhealthy"
"India","18.1170654","75.0264033","Unhealthy for Sensitive Groups"
"India","20.260635","86.161855","Unhealthy"
"Bangladesh","26.0199568","88.4688764","Unhealthy"
"Philippines","7.8692108","122.5607307","Unhealthy for Sensitive Groups"
"Mexico","19.643611","-97.903889","Unhealthy"
"India","18.0885043","79.6006679","Unhealthy"
"Indonesia","-7.4460408","112.7178614","Unhealthy"
"India","22.611621","84.5006635","Unhealthy"
"India","18.9424871","84.5839641","Unhealthy"
"United States of America","42.508692","-78.6667243","Unhealthy for Sensitive Groups"
"India","29.789297","78.409338","Unhealthy"
"Dominican Republic","18.4617093","-69.3031847","Unhealthy for Sensitive Groups"
"Mexico","19.0991667","-98.2541667","Unhealthy"
"China","34.7678842","111.1908398","Unhealthy"
"Nigeria","5.83156395","5.660127976472991","Unhealthy for Sensitive Groups"
"India","23.5702907","76.4722144","Unhealthy"
"India","26.0188919","76.3522441","Unhealthy"
"Brazil","-19.466111","-44.246944","Unhealthy for Sensitive Groups"
"Pakistan","25.9217599","68.6223211","Unhealthy"
"India","22.6562177","70.7486911","Unhealthy"
"India","23.3325108","76.0410672","Unhealthy"
"China","33.900059","112.9009982","Unhealthy"
"United States of America","33.804826","-118.168259","Unhealthy for Sensitive Groups"
"Iran (Islamic Republic of)","29.453073","55.672984","Unhealthy for Sensitive Groups"
"India","26.2184558","84.3585062","Unhealthy"
"India","28.074659","80.4720642","Unhealthy for Sensitive Groups"
"India","22.2137585","85.3878021","Unhealthy"
"Pakistan","32.5686782","74.071481","Unhealthy"
"Viet Nam","21.0283334","105.854041","Unhealthy"
"Pakistan","33.4690855","72.1187625","Unhealthy"
"India","23.5971246","72.9588273","Unhealthy"
"India","24.8374293","85.4195345","Unhealthy"
"Kenya","-0.530371","34.451983","Unhealthy for Sensitive Groups"
"China","30.099183","116.733193","Unhealthy"
"Haiti","18.2352587","-72.5375127","Unhealthy for Sensitive Groups"
"Pakistan","29.5036455","71.2236784","Unhealthy"
"India","24.5419929","76.1735064","Unhealthy"
"India","25.9867413","79.8379593","Unhealthy"
"India","23.2969449","72.3306381","Unhealthy"
"Indonesia","-7.4617145","110.6147021","Unhealthy for Sensitive Groups"
"Uzbekistan","41.2155577","69.101393","Unhealthy"
"South Africa","-26.4866667","27.4933333","Unhealthy"
"India","19.20233","84.6145","Unhealthy"
"India","23.8491569","86.901887","Unhealthy"
"India","27.169024999999998","75.72222208375081","Unhealthy"
"Indonesia","-6.3982206","106.98189239498828","Unhealthy for Sensitive Groups"
"Indonesia","-6.7864594","107.2832236","Unhealthy for Sensitive Groups"
"China","36.494716","117.8567023","Unhealthy for Sensitive Groups"
"United States of America","33.870413","-117.9962165","Unhealthy for Sensitive Groups"
"Colombia","5.3302514","-75.2873471","Unhealthy for Sensitive Groups"
"Mexico","19.105556","-98.463611","Unhealthy"
"Angola","-12.0203585","17.4763605","Unhealthy"
"Colombia","10.3801633","-74.8814116","Unhealthy for Sensitive Groups"
"India","18.7623111","73.8625448","Unhealthy for Sensitive Groups"
"India","22.4830145","86.7179264","Unhealthy"
"India","20.4626213","75.0069134","Unhealthy"
"Iraq","34.0118301","44.1449143","Unhealthy for Sensitive Groups"
"India","19.7492249","85.2063944","Unhealthy"
"Cuba","20.9617915","-75.722894","Unhealthy for Sensitive Groups"
"India","22.7481358","79.9044099","Unhealthy"
"Colombia","10.9938698","-74.7927177","Unhealthy for Sensitive Groups"
"India","22.3599251","88.432546","Unhealthy"
"India","25.8830577","78.3322859","Unhealthy"
"Egypt","28.9214178","30.985374","Unhealthy for Sensitive Groups"
"United States of America","33.7548545","-84.2673149","Unhealthy for Sensitive Groups"
"India","26.1783623","90.6226683","Unhealthy for Sensitive Groups"
"India","23.8735307","86.151587","Unhealthy"
"China","23.1301964","113.2592945","Unhealthy"
"China","25.2301704","109.0394506","Unhealthy"
"India","26.3368378","88.7833976","Unhealthy for Sensitive Groups"
"India","23.0159728","71.1797028","Unhealthy"
"India","22.75","88.25","Unhealthy"
"China","45.7593633","126.6276177","Unhealthy"
"India","22.3388828","77.0929933","Unhealthy"
"Kuwait","29.3232305","48.1160653045448","Unhealthy"
"India","26.7325006","77.0363121","Unhealthy"
"China","32.7019019","115.4757064","Unhealthy"
"China","22.816245","113.6684225","Unhealthy"
"Philippines","15.3264614","119.9801043","Unhealthy for Sensitive Groups"
"Pakistan","33.6938118","73.0651511","Unhealthy"
"Brazil","-23.54888","-46.933889","Unhealthy for Sensitive Groups"
"India","25.4668347","84.4179931","Unhealthy"
"India","29.75922","79.33777","Unhealthy"
"India","27.4726962","78.3022442","Unhealthy"
"Pakistan","29.6402826","70.5951467","Unhealthy"
"Mexico","22.6494432","-102.9900276","Unhealthy for Sensitive Groups"
"India","21.8653634","84.0239656","Unhealthy"
"China","28.6758042","121.4385711","Unhealthy"
"India","19.2094471","73.8771937","Unhealthy"
"Malaysia","6.4389312","100.1944838","Unhealthy for Sensitive Groups"
"India","27.0536345","79.9201719","Unhealthy"
"India","26.192333","83.097943","Unhealthy"
"Pakistan","24.8546842","67.0207055","Unhealthy"
"Pakistan","28.6477403","70.656008","Unhealthy"
"Dominican Republic","18.8068129","-71.2276951","Unhealthy for Sensitive Groups"
"Philippines","9.9863216","124.3385695","Unhealthy"
"India","22.1716912","76.0724656","Unhealthy"
"United States of America","34.0194704","-118.491227","Unhealthy for Sensitive Groups"
"El Salvador","13.7217396","-88.9345406","Unhealthy for Sensitive Groups"
"India","23.168191","72.8223276","Unhealthy"
"India","23.6327987","86.1754033","Unhealthy"
